Customer,Membertype,redeem,TOS,churn,coffee,seasoned,spicy,sour,dessert
10100494763,1,0,13424,1,0,4,2,2,3
10100495836,1,0,317415,1,0,3,3,2,2
10100510014,1,0,123640,1,0,3,2,2,1
10100513653,1,0,252701,1,0,3,2,1,2
10100517639,1,0,17660,1,0,1,2,1,1
10100523868,2,0,109939,1,0,4,2,1,3
10100525855,1,0,18248,1,0,3,4,3,2
10100526960,1,0,20370,1,1,3,2,2,1
10100530699,1,1,11520,1,0,2,2,3,3
10100546729,2,0,113901,1,0,3,4,2,2
10100577724,1,0,31625,1,1,2,4,2,1
10100579472,1,0,18441,1,0,4,4,2,2
10100581437,1,0,64021,1,0,3,3,1,1
10100589851,2,0,19772,0,0,4,4,3,3
10100590180,1,0,19351,1,2,2,1,2,3
10100592574,1,1,24655,1,1,2,4,1,2
10100604155,1,0,20375,1,1,2,1,3,2
10100606481,1,0,20892,1,1,4,2,1,2
10100619013,2,1,7676,1,0,2,2,1,3
10100633923,1,0,21861,0,0,3,2,1,1
10100654838,1,0,22174,1,1,2,2,1,1
10100660595,2,0,24559,0,1,4,3,2,2
10100661734,1,0,22127,0,1,2,2,2,3
10100663136,1,0,21622,1,0,3,2,2,1
10100665461,1,0,22904,1,0,1,3,1,1
10100668978,1,0,30428,1,0,2,2,2,1
10100673861,1,0,23979,0,0,2,3,1,1
10100696201,2,0,286494,1,0,3,2,1,3
10100704161,1,1,27980,1,0,2,3,1,1
10100706331,1,0,22405,1,1,3,2,1,1
10100719581,1,0,48328,1,2,3,4,2,1
10100723658,1,0,25692,1,0,1,1,2,2
10100729762,1,0,114506,1,0,3,2,1,3
10100734416,1,0,33067,1,0,1,2,1,2
10100747632,1,0,148127,1,0,3,4,2,1
10100749638,1,0,57400,0,1,3,2,1,1
10100802572,1,0,6790,0,0,1,1,1,1
10100803999,1,0,27713,1,0,2,1,2,2
10100810959,1,1,34596,1,2,3,4,1,1
10100814278,1,0,23088,1,1,2,2,1,2
10100823157,1,0,193254,1,0,3,4,2,2
10100831107,1,0,28915,1,0,4,4,2,1
10100846972,1,0,89150,0,0,5,4,1,1
10100847115,1,0,31237,1,0,2.77,2.4,1.69,1.7
10100848020,1,0,20216,0,1,3,3,2,2
10100849614,1,0,29604,1,0,2,2,3,2
10100858579,1,0,28832,1,1,3,2,2,2
10100859798,1,0,30395,1,1,3,2,1,2
10100865799,1,0,274066,1,1,4,1,2,2
10100921352,1,0,45702,1,0,3,1,1,1
10100922761,1,0,317807,0,0,3,2,2,2
10100923775,1,0,7845,1,1,2,3,1,1
10100929813,1,0,62119,1,0,4,2,3,2
10100931344,1,0,64910,0,1,3,2,1,2
10100931762,1,0,86906,0,1,3,2,1,1
10100937964,1,0,51586,1,1,2,2,2,2
10100940021,1,1,32419,1,1,4,2,2,2
10100947143,1,1,34288,1,0,4,3,3,1
10100948295,1,0,65709,1,0,3,2,3,2
10100969535,1,0,48705,1,1,3,3,3,1
10100971637,1,1,213580,1,0,2,2,1,1
10100979587,1,0,118271,0,1,2,3,2,2
10100982186,1,0,260331,0,1,4,3,1,3
10100989458,1,0,91413,1,0,2,3,1,1
10100999174,2,0,171548,1,0,2,3,1,3
10101000827,1,0,21512,0,1,4,3,2,2
10101000836,1,0,51517,0,0,3,3,3,2
10101001015,1,0,60100,1,0,4,2,1,2
10101001056,1,0,127431,1,0,5,1,1,3
10101001697,1,1,27810,1,0,4,1,2,1
10101001715,1,0,21112,1,0,3,3,1,1
10101001754,1,0,53030,1,1,3,3,2,1
10101001796,1,0,32070,1,0,2,2,3,3
10101001901,1,0,122971,1,0,3,3,2,3
10101004355,1,1,64600,1,1,3,3,1,2
10101005485,1,0,58300,1,1,3,3,2,2
10101006491,1,0,32574,1,0,2,2.4,1.69,1.7
10101017456,1,0,54056,1,0,3,3,2,3
10101024957,1,0,67298,0,0,2,2,2,1
10101027026,1,0,86904,0,0,3,3,1,1
10101034634,1,0,116253,1,0,4,2,2,3
10101040094,1,0,322634,0,1,3,3,2,2
10101045630,1,0,116806,1,0,3,3,3,1
10101048949,1,0,139415,1,0,3,3,1,3
10101058831,1,1,113558,1,1,3,3,2,2
10101062908,1,0,32772,1,0,4,2,2,3
10101063377,1,0,210285,0,1,1,3,1,2
10101064474,1,0,101236,1,0,3,3,2,2
10101073764,1,1,161801,1,0,3,4,2,1
10101082906,1,1,119574,1,0,3,3,2,1
10101130898,2,0,182791,1,1,3,4,2,1
10101131183,1,1,232857,1,1,1,2,2,1
10101131367,1,1,192423,1,1,2,2,1,3
10101131491,1,0,220806,1,1,4,3,2,2
10101131496,1,0,224903,1,1,5,2,3,1
10101131572,1,0,221487,1,1,3,4,2,1
10101131946,1,0,162320,1,1,4,4,2,2
10101132040,2,0,147710,1,1,3,4,3,2
10101132078,1,1,137062,1,0,2,2,1,1
10101132121,1,0,86815,1,0,4,2,1,1
10101132192,1,0,21169,1,0,4,1,3,1
10101132237,1,0,147223,1,1,4,4,2,2
10101132333,1,0,221169,0,0,2,2,1,1
10101132360,1,0,232225,1,1,3,2,2,1
10101132473,1,0,254706,1,1,3,3,2,2
10101132511,1,0,146312,0,0,3,3,3,3
10101132537,1,0,143027,1,0,3,2,2,2
10101132705,1,0,196618,1,2,3,2,1,1
10101132773,1,0,202243,1,2,2,1,1,1
10101132917,1,0,254813,1,0,1,1,2,2
10101133091,1,1,163207,1,1,3,3,2,2
10101133098,1,0,186156,1,1,2,2,2,1
10101133114,1,1,176443,1,0,2,2,1,1
10101133381,2,0,145523,1,0,3,1,2,2
10101133591,1,0,210136,0,0,3,2,1,2
10101133806,1,0,145791,0,0,1,2,2,2
10101133922,1,0,180842,1,0,2,2,1,1
